24,24																							
GR02 |	GR02 |	GR02 |	SD10 |	SD06 |	SW01 |	RD34|	RD35 |	SW01 |	SD06 |	SD06 |	SD06 |	SD06 |	SD06 |	SD06 |	SD06 |	SD06 |	SW01 |	RD05 |	PVMT |	RD05 |	PVMT |	RD05 |	SW01, RK01
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD05 |	PVMT |	RD05 |	PVMT |	RD05,CAR2 |	SW01, RK01
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD05 |	PVMT |	RD05, CAR2 |	PVMT |	RD05, CAR4 |	SW01, RK01
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD05 |	PVMT |	RD05 |	PVMT |	RD05, CAR2 | SW01, RK01
GR02 |	GR02, TR03 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD05, CAR3 |	PVMT |	RD05 |	PVMT |	RD05, CAR1 |	SW01, RK01
GR02 |	GR02, TR01 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD05 |	PVMT |	RD05, CAR2 |	PVMT |	RD05 |	SW01
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02, TR03 |	SW01 |	RD05 |	PVMT |	RD05 |	PVMT |	RD05 |	SW01
GR02 |	GR02 |	GR02, TR07 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02, TR03 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02, TR01 |	SW01 |	RD05 |	PVMT |	RD05 |	PVMT |	RD05  |	SW01
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02, TR01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD05, CAR3 |	PVMT |	RD05 |	PVMT |	RD05 |	SW01
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD05 |	PVMT |	RD05, CAR4 |	PVMT |	RD05, CAR1 |	SW01
GR02 |	GR02 |	GR02 |	GR02 |	GR02, TR06 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD05 |	PVMT |	RD05 |	PVMT |	RD05 |	SW01
